order_id,customer_id,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,price,freight_value,product_id,product_category_name,review_score,payment_type
ORD_01001,CUST_0103,2024-01-01 00:00:00,2024-01-07 00:00:00,2024-01-11 00:00:00,64.44,21.25,PROD_ELEC_01,electronics,4,credit_card
ORD_01002,CUST_0122,2024-01-01 12:26:49,2024-01-06 12:26:49,2024-01-09 12:26:49,123.74,13.67,PROD_BEAUTY_02,health_beauty,3,credit_card
ORD_01003,CUST_0131,2024-01-02 00:53:38,2024-01-10 00:53:38,2024-01-12 00:53:38,233.53,22.15,PROD_WATCH_03,watches_gifts,3,credit_card
ORD_01004,CUST_0021,2024-01-02 13:20:27,2024-01-05 13:20:27,2024-01-11 13:20:27,156.51,8.12,PROD_HOME_04,bed_bath_table,1,credit_card
ORD_01005,CUST_0059,2024-01-03 01:47:16,2024-01-15 01:47:16,2024-01-12 01:47:16,234.36,11.96,PROD_FITNESS_05,sports_leisure,2,credit_card
ORD_01006,CUST_0051,2024-01-03 14:14:05,2024-01-12 14:14:05,2024-01-12 14:14:05,152.37,8.79,PROD_ELEC_01,electronics,5,credit_card
ORD_01007,CUST_0021,2024-01-04 02:40:55,2024-01-15 02:40:55,2024-01-11 02:40:55,229.01,24.42,PROD_BEAUTY_02,health_beauty,5,credit_card
ORD_01008,CUST_0009,2024-01-04 15:07:44,2024-01-16 15:07:44,2024-01-14 15:07:44,74.64,12.1,PROD_WATCH_03,watches_gifts,5,credit_card
ORD_01009,CUST_0008,2024-01-05 03:34:33,2024-01-10 03:34:33,2024-01-16 03:34:33,109.08,11.1,PROD_HOME_04,bed_bath_table,5,credit_card
ORD_01010,CUST_0134,2024-01-05 16:01:22,2024-01-13 16:01:22,2024-01-12 16:01:22,147.06,8.53,PROD_FITNESS_05,sports_leisure,5,credit_card
ORD_01011,CUST_0044,2024-01-06 04:28:11,2024-01-10 04:28:11,2024-01-13 04:28:11,217.39,18.16,PROD_ELEC_01,electronics,5,credit_card
ORD_01012,CUST_0040,2024-01-06 16:55:00,2024-01-13 16:55:00,2024-01-16 16:55:00,83.34,22.09,PROD_BEAUTY_02,health_beauty,4,credit_card
ORD_01013,CUST_0124,2024-01-07 05:21:50,2024-01-18 05:21:50,2024-01-17 05:21:50,197.47,9.27,PROD_WATCH_03,watches_gifts,5,credit_card
ORD_01014,CUST_0088,2024-01-07 17:48:39,2024-01-10 17:48:39,2024-01-16 17:48:39,88.1,8.24,PROD_HOME_04,bed_bath_table,3,credit_card
ORD_01015,CUST_0136,2024-01-08 06:15:28,2024-01-13 06:15:28,2024-01-16 06:15:28,190.82,9.26,PROD_FITNESS_05,sports_leisure,4,credit_card
ORD_01016,CUST_0041,2024-01-08 18:42:17,2024-01-17 18:42:17,2024-01-14 18:42:17,159.01,13.63,PROD_ELEC_01,electronics,2,credit_card
